機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度
新竹市政府,1916園區(九曲橋),旅遊景點,新竹市,東區,300新竹市東區公園路與東大路一段交叉口新竹公園入口麗池九曲橋,24.801685,120.978506
新竹市文化局,1916園區(中廣站),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.801204,120.978137
新竹市政府,1916園區(孔廟前廣場),旅遊景點,新竹市,東區,300新竹市東區公園路289號,24.801227,120.979385
新竹市立體育場,1916園區(市立游泳池),其他,新竹市,東區,新竹市公園路259號,24.800818,120.981123
新竹市立體育場,1916園區(市立游泳池左側圍牆底),其他,新竹市,東區,新竹市公園路259號,24.800818,120.981123
新竹市立體育場,1916園區(田徑場司令台),其他,新竹市,東區,300新竹市東區公園路283號,24.800818,120.981123
新竹市立體育場,1916園區(田徑場外圍1),其他,新竹市,東區,新竹市公園路283號,24.800818,120.981123
新竹市立體育場,1916園區(田徑場外圍2),其他,新竹市,東區,新竹市公園路283號,24.800818,120.981123
新竹市立體育場,1916園區(田徑場外圍3),其他,新竹市,東區,新竹市公園路283號,24.800818,120.981123
新竹市立體育場,1916園區(田徑場外圍4),其他,新竹市,東區,新竹市公園路283號,24.800818,120.981123
新竹市政府,1916園區(田徑場前廣場),旅遊景點,新竹市,東區,300新竹市東區公園路283號,24.799552,120.979085
新竹市文化局,1916園區(玻璃工坊1F),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.801204,120.978137
新竹市文化局,1916園區(玻璃工坊3F),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.801204,120.978137
新竹市文化局,1916園區(玻璃工藝館1F),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.801204,120.978137
新竹市政府,1916園區(風城願景館),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.801206,120.978135
新竹市文化局,1916園區(氣象站),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.801204,120.978137
新竹市立動物園,1916園區(動物園大門外),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.80224,120.979064
新竹市立動物園,1916園區(動物園台灣獼猴區室外),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.803565,120.97887
新竹市立動物園,1916園區(動物園安哥拉羊區),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.804344,120.979557
新竹市立動物園,1916園區(動物園夜行館室外),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.801792,120.979257
新竹市立動物園,1916園區(動物園長臂猿區),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.802474,120.979042
新竹市立動物園,1916園區(動物園紅鶴區),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.80224,120.979064
新竹市立動物園,1916園區(動物園根與芽廣場),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.80224,120.979064
新竹市立動物園,1916園區(動物園鹿的世界),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.801948,120.979353
新竹市立動物園,1916園區(動物園鹿的樂園上方水池),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.80224,120.979064
新竹市立動物園,1916園區(動物園遊客中心),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.799684,120.980663
新竹市立動物園,1916園區(動物園辦公室),旅遊景點,新竹市,東區,300新竹市東區公園路279號B1,24.80224,120.979064
新竹市文化局,1916園區(湖畔料亭),文教館所,新竹市,東區,300新竹市東區東大路一段2號,24.801204,120.978137
新竹市政府,1916園區(圓形劇場),旅遊景點,新竹市,東區,300新竹市東區公園路與東大路一段交叉口新竹公園風城願景館後圓形劇場,24.801685,120.978506
新竹市政府,1916園區(新竹公園天鵝堡廣場),旅遊景點,新竹市,東區,300新竹市東區公園路與東大路一段交叉口新竹公園入口天鵝堡廣場,24.801685,120.978506
新竹市政府,1916園區(新竹公園麗池),旅遊景點,新竹市,東區,300新竹市東區公園路與東大路一段交叉口新竹公園入口旁麗池,24.801685,120.978506
新竹市立體育場,1916園區(體育館大廳),其他,新竹市,東區,新竹市公園路295號,24.800818,120.981123
新竹市立體育場,1916園區(體育館內右側),其他,新竹市,東區,新竹市公園路295號,24.800818,120.981123
新竹市立體育場,1916園區(體育館內左側),其他,新竹市,東區,新竹市公園路295號,24.800818,120.981123
新竹市政府,公車-金牌客運(50、51路[508-FT]),大眾運輸節點,新竹市,香山區,300新竹市香山區牛埔路391-411號,24.797073,120.942202
新竹市政府,公車-金牌客運(50、51路[509-FT]),大眾運輸節點,新竹市,香山區,300新竹市香山區牛埔路391-411號,24.797073,120.942202
新竹市政府,公車-金牌客運(50、51路[510-FT]),大眾運輸節點,新竹市,香山區,300新竹市香山區牛埔路391-411號,24.797073,120.942202
新竹市政府,公車-金牌客運(52、53路[505-FT]),大眾運輸節點,新竹市,東區,300新竹市東區關東路256巷3號,24.788012,121.021234
